name,dosageType,generic,strength,manufacturer,UnitPrice,PackageSize
Alfa-E,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Aristopharma Ltd.,5.00,(15's pack: ৳ 75.00)
Agerd,Capsule,Tabkheer,,Hamdard Bangladesh,3.00,(50's pack: ৳ 150.00)
Afrodic,Syrup,Herbal cough syrup [Tulsi],,Ibn Sina Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 50.00
Afrodic,Tablet,Ambar Momiyaee,,Ibn Sina Pharmaceuticals Ltd.,15.00,(10's pack: ৳ 150.00)
Adovas,Syrup,Herbal cough syrup [Adhatoda Vasica],,Square Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 70.00
Adolef,Syrup,Herbal cough syrup [Adhatoda Vasica],,Opsonin Pharma Ltd.,100,100 ml bottle: ৳ 65.00
Acteria,Oral Powder,Probiotic Combination [4 Billion],4 billion/sachet,Radiant Nutraceuticals Ltd.,4,(20's pack: ৳ 840.00)
Acteria,Capsule,Probiotic Combination [4 Billion],4 billion,Radiant Nutraceuticals Ltd.,40.00,(20's pack: ৳ 800.00)
Acmina,Syrup,"Mustakarista [Cyperus, Zingiber, Piper nigrum]",,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 70.00
Acme's Spirulina,Capsule,Spirulina,450 mg,ACME Laboratories Ltd.,4.00,(30's pack: ৳ 120.00)
Acme's Chyabanprash,Oral Suspension,Emblic Myrobalan + Aswagandha + Grape,,ACME Laboratories Ltd.,100,100 gm container: ৳ 110.00
Acme's Basok,Syrup,Herbal cough syrup [Vasakarista],,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 65.00
Centurin,Capsule,Penitab,250 mg,Hamdard Bangladesh,4.40,(50's pack: ৳ 220.00)
Carmina,Tablet,Herbal gastric preparation,,Hamdard Bangladesh,1.42,(60's pack: ৳ 85.00)
Carmina,Syrup,Herbal gastric preparation,,Hamdard Bangladesh,100,100 ml bottle: ৳ 50.00
Cardi Q,Capsule,Coenzyme Q10 [Ubidecarenone],50 mg,Square Pharmaceuticals Ltd.,12.00,(50's pack: ৳ 600.00)
Cardi Q,Capsule,Coenzyme Q10 [Ubidecarenone],100 mg,Square Pharmaceuticals Ltd.,20.00,(30's pack: ৳ 600.00)
Calrip,Tablet,Marwareedi,,Hamdard Bangladesh,22.00,"(50's pack: ৳ 1,100.00)"
Brogel,Capsule,Spirulina,500 mg,Bronson  Laboratories (BD) Ltd.,15.00,(30's pack: ৳ 450.00)
Braintel,Syrup,Brahmi Rasayan,,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 75.00
Bolardi,Capsule,Saccharomyces Boulardii,500 mg,Square Pharmaceuticals Ltd.,16.00,(30's pack: ৳ 480.00)
Bolardi,Capsule,Saccharomyces Boulardii,250 mg,Square Pharmaceuticals Ltd.,10.00,(30's pack: ৳ 300.00)
Bliss,Capsule,Silymarin [Milk thistle],140 mg,Purnava Limited,20.00,(30's pack: ৳ 600.00)
Black Cohos,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Ibn Sina Pharmaceuticals Ltd.,6.50,(30's pack: ৳ 195.00)
Biovit-E,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Biopharma Laboratories Ltd.,5.00,(15's pack: ৳ 75.00)
Bioprem,Capsule,Biotin,2500 mcg,Square Pharmaceuticals Ltd.,25.00,(30's pack: ৳ 750.00)
Bioprem,Capsule,Biotin,1000 mcg,Square Pharmaceuticals Ltd.,15.00,(30's pack: ৳ 450.00)
Bioglo,Capsule,Biotin,1000 mcg,Drug International Ltd.,15.00,(30's pack: ৳ 450.00)
Bioglo,Capsule,Biotin,2500 mcg,Drug International Ltd.,25.00,(30's pack: ৳ 750.00)
Biogen,Tablet,Collagen II & GAGs,1 gm,Kemiko Pharmaceuticals Ltd.,26.33,"(60's pack: ৳ 1,580.00)"
Bio-7,Tablet,Biotin,1000 mcg,The White Horse Pharma,20.00,(30's pack: ৳ 600.00)
Bilogin,Capsule,Ginkgo Biloba,60 mg,Alien Pharma,20.00,(30's pack: ৳ 600.00)
Biloba,Capsule,Ginkgo Biloba,60 mg,Drug International Ltd.,6.00,(32's pack: ৳ 192.00)
Betaburn,Ointment,β-Sitosterol,0.25% w/w,Square Pharmaceuticals Ltd.,25,25 gm tube: ৳ 100.00
Bel,Syrup,Belgiri [Bael fruit + Connessi bark],(1 gm+0.5 gm)/5 ml,Ibn Sina Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 37.50
Basokof,Syrup,Herbal cough syrup [Vasakarista],,Ibn Sina Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 50.00
Basak,Syrup,Herbal cough syrup [Vasakarista],,Hamdard Bangladesh,100,100 ml bottle: ৳ 65.00
Bandish,Tablet,"Bandish [Oak Galls, Tannic acid]",15.63 mg+78.12 mg,Ibn Sina Pharmaceuticals Ltd.,3.00,(30's pack: ৳ 90.00)
Balarist-A,Syrup,Balarista,,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 100.00
Asparex,Syrup,Compound Asparagus,,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 150.00
Asmarid,Syrup,Mahadrakkharist [Grape extract],,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 100.00
E-Cap,Capsule,Vitamin E [Alpha Tocopherol Acetate],600 IU,Drug International Ltd.,8.00,(30's pack: ৳ 240.00)
E 400,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],400 IU,Bristol Pharmaceuticals Ltd.,5.00,"(30's pack: ৳ 150.00),(50's pack: ৳ 250.00)"
E 200,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 IU,Bristol Pharmaceuticals Ltd.,3.33,"(30's pack: ৳ 100.00),(100's pack: ৳ 333.00)"
Dysni,Tablet,Pechish,,Hamdard Bangladesh,3.00,(50's pack: ৳ 150.00)
Duratab,Tablet,Habb-e-Nishat,,Ibn Sina Pharmaceuticals Ltd.,17.25,(10's pack: ৳ 172.50)
Dubarel,Syrup,Aushokarist [Saraca Indica],,Square Pharmaceuticals Ltd.,200,200 ml bottle: ৳ 100.00
Dolabi,Tablet,Natural medicine for diabetes,,Hamdard Bangladesh,3.00,(50's pack: ৳ 150.00)
DK,Capsule,Vitamin D3 + Vitamin K1 + Vitamin K2,400 IU+60 mcg+30 mcg,Square Pharmaceuticals Ltd.,6.00,(30's pack: ৳ 180.00)
Dirulina,Capsule,Spirulina,500 mg,Ibn Sina Pharmaceuticals Ltd.,6.00,(50's pack: ৳ 300.00)
Digac,Syrup,Jamani Arka,,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 45.00
Difans,Syrup,Hazmina,5 mg,Drug International Ltd.,100,100 ml bottle: ৳ 60.00
Devas,Syrup,Herbal cough syrup [Adhatoda Vasica],,Drug International Ltd.,100,100 ml bottle: ৳ 70.00
Dermaid,Ointment,Marham Kharish,,Hamdard Bangladesh,20,20 gm tube: ৳ 70.00
Decaren,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Renata Limited,20.00,(30's pack: ৳ 600.00)
Danta Rakkha,Oral Powder,Sanoon Babla,,Hamdard Bangladesh,50,50 gm pack: ৳ 65.00
Dabur Chyawanprash,Oral Suspension,Emblic Myrobalan + Aswagandha + Grape,,Dabur India Limited,500,500 gm container: ৳ 300.00
D-Sefa,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Drug International Ltd.,7.00,(50's pack: ৳ 350.00)
Curnoid,Tablet,Curcuminoids [Curcuma Longa],500 mg,Radiant Nutraceuticals Ltd.,35.00,(20's pack: ৳ 700.00)
Cranbiotic,Capsule,Cranberry [Vaccinium macrocarpon],400 mg,Radiant Nutraceuticals Ltd.,20.00,(30's pack: ৳ 600.00)
Cran-B,Capsule,Cranberry [Vaccinium macrocarpon],400 mg,Incepta Pharmaceuticals Ltd.,14.00,(30's pack: ৳ 420.00)
Cpvit E,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Cosmo Pharma Ltd.,2.00,(50's pack: ৳ 100.00)
Cozyme,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Drug International Ltd.,15.05,(30's pack: ৳ 451.50)
Cozyme,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,Drug International Ltd.,8.05,(30's pack: ৳ 241.50)
CoQ,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Beacon Pharmaceuticals Ltd.,15.05,(24's pack: ৳ 361.20)
CoQ,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,Beacon Pharmaceuticals Ltd.,8.02,(30's pack: ৳ 240.60)
Cool max,Ointment,Mentha + Cinnamomum + Gaultheria + Capsicum,,ACME Laboratories Ltd.,20,20 gm tube: ৳ 70.00
Colmint,Capsule,Peppermint Oil,187 mg/0.2 ml,Square Pharmaceuticals Ltd.,6.00,"(30's pack: ৳ 180.00),(30's pack: ৳ 210.60)"
Cinkara,Syrup,Herbal Multivitamin,,Hamdard Bangladesh,100,100 ml bottle: ৳ 60.00
Chirol,Tablet,Sharbat Musaffi,,Ibn Sina Pharmaceuticals Ltd.,3.00,(50's pack: ৳ 150.00)
Femorose,Capsule,Evening primrose oil,1000 mg,Incepta Pharmaceuticals Ltd.,12.00,(30's pack: ৳ 360.00)
Femiton,Tablet,Monjistha [Rubia cordifolia],500 mg,ACME Laboratories Ltd.,5.00,(30's pack: ৳ 150.00)
Fecilax,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,ACME Laboratories Ltd.,100,100 gm container: ৳ 350.00
EVV,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Pharmadesh Laboratories Ltd.,5.52,(15's pack: ৳ 82.82)
Evit,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Square Pharmaceuticals Ltd.,6.00,(30's pack: ৳ 180.00)
Evit,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Square Pharmaceuticals Ltd.,4.00,(30's pack: ৳ 120.00)
Evidon,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Doctor’s Chemical Works Ltd.,2.90,(100's pack: ৳ 290.00)
Etrifal Ustukhudus,Powder for Suspension,Lavendar [Lavendula stoechas],,Hamdard Bangladesh,100,100 gm container: ৳ 120.00
Eredex,Capsule,Yohimbine Hydrochloride,5.4 mg,Square Pharmaceuticals Ltd.,30.00,(24's pack: ৳ 720.00)
Eprim Plus,Capsule,Evening primrose oil,1000 mg,Square Pharmaceuticals Ltd.,12.00,(30's pack: ৳ 360.00)
Eprim,Capsule,Evening primrose oil,500 mg,Square Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Enerton,Syrup,Balarista,,Square Pharmaceuticals Ltd.,200,200 ml bottle: ৳ 170.00
Endurex,Capsule,Mumshik,,Hamdard Bangladesh,60.00,"(20's pack: ৳ 1,200.00)"
Endemali,Powder for Suspension,Antacid [Unani],,Hamdard Bangladesh,1,(20's pack: ৳ 380.00)
Efynal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Healthcare Pharmaceuticals Ltd.,6.50,(25's pack: ৳ 162.50)
Ecovit-S,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Globe Pharmaceuticals Ltd.,4.00,(100's pack: ৳ 400.00)
Ecovit,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Globe Pharmaceuticals Ltd.,6.00,(50's pack: ৳ 300.00)
E-Zen,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Zenith Pharmaceuticals Ltd.,3.51,(50's pack: ৳ 175.50)
E-Tab,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 IU,ACME Laboratories Ltd.,3.27,(100's pack: ৳ 327.00)
E-Soft,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Pacific Pharmaceuticals Ltd.,6.00,(50's pack: ৳ 300.00)
E-Soft,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Pacific Pharmaceuticals Ltd.,4.00,(100's pack: ৳ 400.00)
E-Gold,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Rangs Pharmaceuticals Ltd.,4.02,"(30's pack: ৳ 120.60),(50's pack: ৳ 201.00)"
E-Gold,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Rangs Pharmaceuticals Ltd.,6.00,(30's pack: ৳ 180.00)
E-Gel DS,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Renata Limited,6.02,(50's pack: ৳ 301.00)
E-Gel,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Renata Limited,4.01,(100's pack: ৳ 401.00)
E-fill,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,General Pharmaceuticals Ltd.,6.04,(30's pack: ৳ 181.20)
E-fill,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,General Pharmaceuticals Ltd.,4.04,(50's pack: ৳ 202.00)
E-Cold,Capsule,Echinacea,450 mg,Ibn Sina Pharmaceuticals Ltd.,5.00,(30's pack: ৳ 150.00)
E-Cap,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Drug International Ltd.,4.50,"(100's pack: ৳ 450.00),(60's pack: ৳ 270.00)"
Hajmo-A,Tablet,Vaskar Laban [Piper + Zingiber + Cinnamomum],500 mg,ACME Laboratories Ltd.,0.80,"(25's pack: ৳ 20.00),(130's pack: ৳ 104.00)"
Gynolac,Capsule,Probiotic Combination [2.3 Billion],2.3 billion,Drug International Ltd.,0,Price Unavailable
GoodGut,Capsule,Probiotic Combination [4 Billion],4 billion,Renata Limited,16.00,(30's pack: ৳ 480.00)
Goodbac-3S,Capsule,Probiotic Combination [4 Billion],4 billion,Aristopharma Ltd.,40.00,(18's pack: ৳ 720.00)
Gobison,Capsule,Ginkgo Biloba,120 mg,Bronson  Laboratories (BD) Ltd.,25.00,(30's pack: ৳ 750.00)
Gintonic,Syrup,Panax Ginseng,300 mg/5 ml,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 350.00
Ginton,Capsule,Panax Ginseng,500 mg,Hamdard Bangladesh,12.00,(30's pack: ৳ 360.00)
Gintex,Capsule,Panax Ginseng,500 mg,Square Pharmaceuticals Ltd.,12.00,(30's pack: ৳ 360.00)
Ginsina,Capsule,Panax Ginseng,500 mg,Ibn Sina Pharmaceuticals Ltd.,8.00,(30's pack: ৳ 240.00)
Ginoba,Capsule,Ginkgo Biloba,60 mg,Radiant Nutraceuticals Ltd.,20.00,(30's pack: ৳ 600.00)
Ginkgo-B,Capsule,Ginkgo Biloba,60 mg,Aristopharma Ltd.,20.00,(30's pack: ৳ 600.00)
Gingoba,Tablet,Ginkgo Biloba,120 mg,Ibn Sina Pharmaceuticals Ltd.,16.00,(30's pack: ৳ 480.00)
Gingoba,Tablet,Ginkgo Biloba,40 mg,Ibn Sina Pharmaceuticals Ltd.,10.00,(30's pack: ৳ 300.00)
Gingo,Capsule,Ginkgo Biloba,60 mg,ACME Laboratories Ltd.,10.00,(30's pack: ৳ 300.00)
Ginera,Capsule,Panax Ginseng,500 mg,Renata Limited,25.00,(30's pack: ৳ 750.00)
Ginax,Capsule,Panax Ginseng,500 mg,Drug International Ltd.,7.00,(32's pack: ৳ 224.00)
Giloba,Capsule,Ginkgo Biloba,60 mg,Square Pharmaceuticals Ltd.,10.00,(30's pack: ৳ 300.00)
Giloba,Capsule,Ginkgo Biloba,120 mg,Square Pharmaceuticals Ltd.,15.00,(30's pack: ৳ 450.00)
Gelaseed,Capsule,Flaxseed oil [Linum Usitatissimum],1000 mg,Square Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Gastroaid,Tablet,Fermented soy [Lactobacillus Delbrueckii],500 mg,Radiant Nutraceuticals Ltd.,10.00,(30's pack: ৳ 300.00)
Garllium,Capsule,Garlic Oil,385 mg,Renata Limited,25.00,(30's pack: ৳ 750.00)
Garlin,Capsule,Garlic Oil,10 mg,Square Pharmaceuticals Ltd.,6.00,(30's pack: ৳ 180.00)
Garlicap,Capsule,Garlic Oil,10 mg,Drug International Ltd.,3.00,(50's pack: ৳ 150.00)
Frodex,Tablet,Ambar Momiyaee,,Hamdard Bangladesh,42.50,(20's pack: ৳ 850.00)
Flucare,Capsule,Andrographis paniculata,200 mg,Ibn Sina Pharmaceuticals Ltd.,5.00,(30's pack: ৳ 150.00)
Floriz,Tablet,Biotin,1000 mcg,Radiant Nutraceuticals Ltd.,20.00,(30's pack: ৳ 600.00)
Fiberlax Ultra,Effervescent Granules,Ispaghula Husk + Mebeverine Hydrochloride,(3.5 gm+135 mg)/sachet,Incepta Pharmaceuticals Ltd.,3.5,(20's pack: ৳ 400.00)
Fevnil,Syrup,Khakshi,,Hamdard Bangladesh,100,100 ml bottle: ৳ 70.00
Ferodin,Capsule,Nabayas Louha Herbal Haematinic,500 mg,ACME Laboratories Ltd.,2.00,(50's pack: ৳ 100.00)
JeeBee,Capsule,Ginkgo Biloba,60 mg,Renata Limited,20.00,(30's pack: ৳ 600.00)
Jarira,Capsule,Chirata [Swertia Chirata],250 mg,Drug International Ltd.,4.00,(40's pack: ৳ 160.00)
Ispahusk,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,UniMed UniHealth,130,130 gm container: ৳ 400.00
Isabgul Plus,Effervescent Powder,Ispaghula Husk + Sonapata,(3 gm+1 gm)/4 gm,Ibn Sina Pharmaceuticals Ltd.,4,(20's pack: ৳ 300.00)
Isabgul Plus,Effervescent Powder,Ispaghula Husk + Sonapata,(3 gm+1 gm)/4 gm,Ibn Sina Pharmaceuticals Ltd.,100,100 gm container: ৳ 330.00
Iripum,Capsule,Pumpkin [Cucurbita pepo],500 mg,Ibn Sina Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Intellon,Capsule,Ginkgo Biloba,120 mg,Total Natural Company,25.00,(30's pack: ৳ 750.00)
Insperm,Tablet,Espand,,Hamdard Bangladesh,3.00,(50's pack: ৳ 150.00)
Inovit E,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Incepta Pharmaceuticals Ltd.,6.00,(30's pack: ৳ 180.00)
Inovit E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Incepta Pharmaceuticals Ltd.,4.00,(30's pack: ৳ 120.00)
Improliv,Capsule,Silymarin [Milk thistle],140 mg,Veritas Pharmaceuticals Ltd.,9.00,(30's pack: ৳ 270.00)
Immuna,Capsule,Spirulina,450 mg,Alien Pharma,15.50,(30's pack: ৳ 465.00)
Icturn,Syrup,Dinar,,Hamdard Bangladesh,100,100 ml bottle: ৳ 60.00
Honeybas,Syrup,Herbal cough syrup [Adhatoda Vasica],,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 75.00
HollySeed,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Opsonin Pharma Ltd.,8.00,(60's pack: ৳ 480.00)
Hermin,Tablet,Rehmin,,Hamdard Bangladesh,6.00,(50's pack: ৳ 300.00)
Hepatolin,Syrup,Rohitakarista,,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 75.00
Hepanor,Capsule,Silymarin [Milk thistle],70 mg,Drug International Ltd.,6.00,(32's pack: ৳ 192.00)
Hepanor,Capsule,Silymarin [Milk thistle],140 mg,Drug International Ltd.,9.00,(20's pack: ৳ 180.00)
Hepamilk,Capsule,Silymarin [Milk thistle],70 mg,ACME Laboratories Ltd.,5.00,"(30's pack: ৳ 150.00),(20's pack: ৳ 100.00)"
Hepamilk,Capsule,Silymarin [Milk thistle],140 mg,ACME Laboratories Ltd.,9.00,(20's pack: ৳ 180.00)
Hepamarin,Capsule,Silymarin [Milk thistle],140 mg,Aristopharma Ltd.,11.00,(30's pack: ৳ 330.00)
Hepalgin,Tablet,Kabid Nawshadri,,Hamdard Bangladesh,2.00,(100's pack: ৳ 200.00)
Hemorist,Syrup,Abhayarista,,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 60.00
Helax,Tablet,Aloe + Black Pepper + Henbane,130.43 mg+86.96 mg+18.12mg,Hamdard Bangladesh,2.00,(50's pack: ৳ 100.00)
Hantar,Tablet,White Damar + Acacia + Bole Rubra,1.66 gm+1.66 gm+1.66 gm,Hamdard Bangladesh,2.00,(50's pack: ৳ 100.00)
Hanrhoid-B,Tablet,Guggul + Barberry + Chebulic Myrobalan,100 mg+33.33 mg+16.67 mg,Hamdard Bangladesh,3.00,(50's pack: ৳ 150.00)
Hanrhoid,Tablet,Chebulic Myrobalan + Barberry,125 mg+125 mg,Hamdard Bangladesh,3.00,(50's pack: ৳ 150.00)
Hanpy,Tablet,Datura + Rhubarb + Ginger,64.28 mg+42.86 mg+21.43 mg,Hamdard Bangladesh,2.00,(50's pack: ৳ 100.00)
Luzent,Capsule,Lutein + Zeaxanthin,20 mg+5 mg,Radiant Nutraceuticals Ltd.,35.00,(27's pack: ৳ 945.00)
Luvena,Capsule,Probiotic Combination [3.2 Billion],3.2 billion,Incepta Pharmaceuticals Ltd.,30.00,(20's pack: ৳ 600.00)
Lubub Kabir,Powder for Suspension,Salep + Coconut + Poppy Seeds +  Almond,,Hamdard Bangladesh,100,100 gm container: ৳ 750.00
Livolite,Capsule,Andrographis paniculata,200 mg,Square Pharmaceuticals Ltd.,5.00,(30's pack: ৳ 150.00)
Livec,Capsule,Silymarin [Milk thistle],70 mg,Hamdard Bangladesh,8.00,(30's pack: ৳ 240.00)
Livasil,Capsule,Silymarin [Milk thistle],140 mg,Incepta Pharmaceuticals Ltd.,11.00,(30's pack: ৳ 330.00)
Livasil,Capsule,Silymarin [Milk thistle],70 mg,Incepta Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Liqumint,Capsule,Peppermint Oil,187 mg/0.2 ml,Beacon Pharmaceuticals Ltd.,7.05,(30's pack: ৳ 211.50)
Liqu-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Beacon Pharmaceuticals Ltd.,30,30 capsule in a bottle: ৳ 120.60
Lina,Capsule,Spirulina,500 mg,Hamdard Bangladesh,8.00,(30's pack: ৳ 240.00)
Lina,Capsule,Spirulina,250 mg,Hamdard Bangladesh,6.00,(30's pack: ৳ 180.00)
Lifil-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,ACME Laboratories Ltd.,6.00,(50's pack: ৳ 300.00)
Lifil-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,ACME Laboratories Ltd.,4.00,(50's pack: ৳ 200.00)
Libidex,Capsule,Saffron + Mace arillus + Nutmeg fruit,,Hamdard Bangladesh,32.50,(20's pack: ৳ 650.00)
Lecosav,Syrup,Patrangasav,,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 110.00
Lecor,Syrup,Patrangasav,,Square Pharmaceuticals Ltd.,200,200 ml bottle: ৳ 140.00
Laxadil-Senna,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,Drug International Ltd.,0,Price Unavailable
Ladica,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Hamdard Bangladesh,6.00,(30's pack: ৳ 180.00)
Lactohil,Oral Powder,23 herb formula to increase breast milk,100 gm/container,HLL Lifecare Limited,100,100 gm container: ৳ 575.00
Lactoflora,Capsule,Probiotic Combination [2 Billion],2 billion,Drug International Ltd.,0,Price Unavailable
Kulzam,Liquid,Camphor + Thymol + Menthol + Eucalyptus oil,,Hamdard Bangladesh,50,50 ml drop: ৳ 70.00
